date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter
2022-07-11,19.9036,23.2,74.73,1.18,1.93,0.4815,17.1405,2.6714,74.2512,8.9643,7,0,1,0,0
2022-07-12,13.8024,23.02,85.53,1.94,10.37,0.47,9.8405,2.8345,76.731,19.9036,7,0,1,0,0
2022-07-13,10.6786,27.82,67.22,1.3,0.0,0.515,14.2,2.6917,80.4512,13.8024,7,0,1,0,0
2022-07-14,8.6452,26.91,57.04,2.11,0.0,0.3035,15.0083,2.806,86.35,10.6786,7,0,1,0,0
2022-07-15,9.5655,28.37,51.03,1.53,0.0,0.31,18.5357,2.5357,88.1274,8.6452,7,0,1,0,0
2022-07-16,24.8667,27.05,69.88,1.88,0.0,0.6049,19.2,2.9607,123.4214,9.5655,7,0,1,0,0
2022-07-17,20.6488,28.87,56.62,2.02,0.0,0.4161,13.906,2.3714,80.4321,24.8667,7,0,1,0,0
2022-07-18,7.8226,28.31,47.58,1.66,0.0,0.3623,15.1679,2.4381,85.3655,20.6488,7,0,1,0,0
2022-07-19,13.5929,25.49,55.12,1.52,0.0,0.3812,19.0571,2.4226,105.5631,7.8226,7,0,1,0,0
2022-07-20,24.8667,26.45,60.88,1.91,0.1,0.4956,16.8536,2.5381,110.2667,13.5929,7,0,1,0,0
2022-07-21,18.7869,26.15,68.53,1.58,0.03,0.4306,15.6262,2.3643,123.6655,24.8667,7,0,1,0,0
2022-07-22,26.294,26.17,74.33,1.71,6.71,0.5155,19.2298,2.4095,110.2405,18.7869,7,0,1,0,0
2022-07-23,9.4714,26.44,66.12,1.37,3.92,0.3477,9.8631,2.4845,95.8036,26.294,7,0,1,0,0
2022-07-24,23.3238,27.33,61.66,1.74,0.9,0.5023,16.1393,2.3679,115.4845,9.4714,7,0,1,0,0
2022-07-25,20.9607,27.72,68.36,2.02,0.28,0.4389,13.8976,2.394,108.3286,23.3238,7,0,1,0,0
2022-07-26,29.0726,27.02,76.34,1.96,8.07,0.4974,12.769,2.5048,109.9119,20.9607,7,0,1,0,0
2022-07-27,18.1655,24.73,87.28,1.59,36.11,0.5413,9.4512,2.5298,82.6762,29.0726,7,0,1,0,0
2022-07-28,5.181,24.06,80.36,1.27,32.18,0.3392,8.6369,2.5845,71.8262,18.1655,7,0,1,0,0
2022-07-29,14.2333,24.85,76.4,1.6,0.55,0.443,14.831,2.6143,83.5012,5.181,7,0,1,0,0
2022-07-30,34.2679,25.33,81.05,1.43,0.93,0.6519,12.8833,2.7333,102.3905,14.2333,7,0,1,0,0
2022-07-31,25.8964,27.15,77.88,1.07,0.03,0.4975,13.0464,2.7524,89.775,34.2679,7,0,1,0,0
2022-08-01,36.8381,28.06,74.47,1.24,0.01,0.5642,14.3357,2.8214,104.9226,25.8964,8,0,1,0,0
2022-08-02,38.8988,28.69,74.21,1.73,0.37,0.5663,14.7762,2.525,98.544,36.8381,8,0,1,0,0
2022-08-03,39.4619,29.09,74.95,1.42,3.11,0.5246,12.681,2.9857,102.3893,38.8988,8,0,1,0,0
2022-08-04,35.2893,29.25,80.15,1.53,9.28,0.5698,12.4536,2.4917,103.5869,39.4619,8,0,1,0,0
2022-08-05,16.6226,30.56,72.9,1.49,2.86,0.4773,11.1881,2.6881,106.8952,35.2893,8,0,1,0,0
2022-08-06,20.6667,28.16,84.8,1.32,20.33,0.5385,16.2655,2.7702,76.0881,16.6226,8,0,1,0,0
2022-08-07,25.8369,29.32,80.63,0.8,9.87,0.593,11.7714,2.8964,79.7893,20.6667,8,0,1,0,0
2022-08-08,8.1905,25.32,73.35,1.48,4.94,0.3687,13.675,2.6167,52.1524,25.8369,8,0,1,0,0
2022-08-09,7.3083,22.46,81.65,1.41,10.88,0.3546,12.5429,2.5762,52.094,8.1905,8,0,1,0,0
2022-08-10,10.8321,22.81,77.5,1.53,0.14,0.3712,13.7702,2.5595,72.025,7.3083,8,0,1,0,0
2022-08-11,17.4774,25.17,79.27,1.47,0.0,0.4548,13.5369,3.1214,89.1679,10.8321,8,0,1,0,0
2022-08-12,34.2845,26.61,81.99,1.62,0.18,0.6096,13.6095,3.4286,101.2905,17.4774,8,0,1,0,0
2022-08-13,44.9964,25.64,84.31,1.81,0.92,0.8218,14.9095,2.6179,114.1238,34.2845,8,0,1,0,0
2022-08-14,28.2405,23.02,89.75,1.47,17.48,0.969,13.0964,2.7131,57.8036,44.9964,8,0,1,0,0
2022-08-15,8.5857,26.65,62.45,2.72,0.0,0.5724,11.9607,2.7619,46.8774,28.2405,8,0,1,0,0
2022-08-16,5.3095,23.82,61.73,1.87,0.0,0.3638,13.5738,2.6976,76.2929,8.5857,8,0,1,0,0
2022-08-17,25.7869,24.89,72.33,1.76,0.1,0.5493,14.3881,2.5429,90.7393,5.3095,8,0,1,0,0
2022-08-18,29.0583,24.27,93.94,2.55,45.44,0.6348,13.6476,2.6631,68.4024,25.7869,8,0,1,0,0
2022-08-19,9.8012,26.11,66.88,2.64,0.32,0.4657,12.269,2.7679,48.4833,29.0583,8,0,1,0,0
2022-08-20,10.3548,23.68,76.22,2.34,0.16,0.399,17.0631,2.6048,72.5631,9.8012,8,0,1,0,0
2022-08-21,26.6702,24.01,85.6,1.53,24.19,0.4977,14.7345,2.6024,93.6119,10.3548,8,0,1,0,0
2022-08-22,11.7417,23.92,71.98,2.75,18.16,0.3512,9.1357,2.8381,83.4655,26.6702,8,0,1,0,0
2022-08-23,3.5726,20.86,61.29,1.97,16.05,0.2223,14.6036,2.6821,37.531,11.7417,8,0,1,0,0
2022-08-24,7.5869,21.46,71.91,1.04,0.12,0.2861,14.4226,2.6012,64.9655,3.5726,8,0,1,0,0
2022-08-25,10.1786,22.1,62.43,2.21,0.0,0.2794,15.5429,2.6821,52.8964,7.5869,8,0,1,0,0
2022-08-26,6.2631,19.19,61.22,2.63,0.0,0.2308,17.2821,2.6762,38.6107,10.1786,8,0,1,0,0
2022-08-27,4.8762,17.84,54.76,1.97,0.0,0.2225,16.2607,2.5571,40.5976,6.2631,8,0,1,0,0
2022-08-28,14.3286,17.55,75.04,2.07,2.44,0.3633,24.9988,2.494,32.0226,4.8762,8,0,1,0,0
2022-08-29,17.6048,18.33,81.93,1.08,0.08,0.3593,12.3857,2.7976,53.7214,14.3286,8,0,1,0,0
2022-08-30,21.2179,20.82,72.41,1.01,0.92,0.427,18.0214,2.5881,65.0036,17.6048,8,0,1,0,0
2022-08-31,4.4893,21.97,60.65,1.86,0.0,0.2648,18.3643,2.6607,54.8929,21.2179,8,0,1,0,0
2022-09-01,8.4524,19.85,60.49,1.99,0.0,0.3044,17.9607,2.494,69.0298,4.4893,9,0,0,1,0
2022-09-02,18.1226,20.93,65.0,1.42,0.0,0.418,20.6262,2.45,81.1964,8.4524,9,0,0,1,0
2022-09-03,30.1143,20.52,71.2,1.37,0.98,0.5082,24.619,2.5048,81.9619,18.1226,9,0,0,1,0
2022-09-04,33.0298,21.87,71.75,1.35,3.13,0.5455,16.131,2.4643,91.7238,30.1143,9,0,0,1,0
2022-09-05,5.0738,20.62,50.35,2.86,0.02,0.2304,13.8393,2.5393,58.606,33.0298,9,0,0,1,0
2022-09-06,6.4226,19.44,47.21,2.97,0.0,0.2325,18.994,2.4762,44.0464,5.0738,9,0,0,1,0
2022-09-07,8.9821,21.72,45.31,2.32,0.0,0.2686,22.6738,2.3702,56.0119,6.4226,9,0,0,1,0
2022-09-08,18.825,24.56,53.71,1.64,0.0,0.3964,30.1738,2.3214,89.1595,8.9821,9,0,0,1,0
2022-09-09,34.656,24.76,52.4,1.1,0.0,0.5998,28.2833,2.45,117.8143,18.825,9,0,0,1,0
2022-09-10,47.506,23.56,62.91,1.44,0.05,0.7907,21.3488,2.6893,141.7845,34.656,9,0,0,1,0
2022-09-11,29.05,22.17,71.49,1.42,0.0,0.586,13.9321,2.4226,103.4905,47.506,9,0,0,1,0
2022-09-12,48.681,23.43,71.04,1.27,0.0,0.6996,20.0345,2.5143,106.9071,29.05,9,0,0,1,0
2022-09-13,56.069,24.37,68.34,1.17,0.0,0.7904,22.0833,2.6845,98.4774,48.681,9,0,0,1,0
2022-09-14,34.419,22.95,70.4,1.61,0.0,0.638,17.6262,2.3607,83.581,56.069,9,0,0,1,0
2022-09-15,20.3988,22.23,67.75,1.23,0.0,0.5613,17.056,2.3381,83.4595,34.419,9,0,0,1,0
2022-09-16,25.0262,23.32,69.69,1.41,0.0,0.5235,19.7631,2.3071,91.6262,20.3988,9,0,0,1,0
