model,n,predictors_excluding_intercept,R2,Adjusted_R2,RMSE,MAE,AIC,BIC,F_statistic,RSS
Full OLS: meteorology + gaseous pollutants + lagged PM2.5,1461,12,0.7697890520846424,0.7678812265494322,12.339452805576748,7.979537774947509,11514.54488646869,11583.27427982145,403.4902761692257,222454.92158548263
Weather-only OLS: meteorology + lagged PM2.5,1461,8,0.4744250997266637,0.47152937024857366,18.644477757170826,13.271658133498526,12712.595504054403,12760.177391760159,163.83612603190738,507867.7807737886
