smooth_term,x,partial_effect,lower_95,upper_95
O3,54.99273563,2.13816749,0.89931098,3.37702401
O3,56.24531227,2.16744931,0.89210884,3.44278978
O3,57.49788891,2.20596828,0.8995715,3.51236507
O3,58.75046555,2.26234106,0.94039558,3.58428655
O3,60.00304218,2.34018438,1.02234064,3.65802811
O3,61.25561882,2.43740248,1.14012514,3.73467982
O3,62.50819546,2.5515875,1.28582341,3.81735159
O3,63.7607721,2.68033155,1.4502004,3.91046271
O3,65.01334874,2.82122677,1.62344301,4.01901054
O3,66.26592538,2.97186527,1.79611453,4.14761601
O3,67.51850202,3.12983918,1.96038849,4.29928987
O3,68.77107866,3.29274061,2.11126711,4.47421411
O3,70.02365529,3.4581617,2.24722312,4.66910029
O3,71.27623193,3.62369457,2.36989333,4.8774958
O3,72.52880857,3.78693133,2.48302283,5.09083982
O3,73.78138521,3.94558665,2.59119428,5.29997901
O3,75.03396185,4.09877721,2.69830274,5.49925168
O3,76.28653849,4.24651367,2.80649451,5.68653284
O3,77.53911513,4.38882114,2.91654431,5.86109796
O3,78.79169176,4.52572469,3.02831088,6.0231385
O3,80.0442684,4.65724943,3.14104646,6.1734524
O3,81.29684504,4.78342046,3.25361065,6.31323026
O3,82.54942168,4.90426285,3.36462668,6.44389903
O3,83.80199832,5.01980172,3.47260516,6.56699829
O3,85.05457496,5.13006215,3.57605034,6.68407397
O3,86.3071516,5.23506924,3.67355604,6.79658245
O3,87.55972824,5.33484809,3.76389239,6.90580378
O3,88.81230487,5.42942378,3.84607977,7.01276778
O3,90.06488151,5.51882141,3.91944371,7.1181991
O3,91.31745815,5.60306607,3.98364402,7.22248812
O3,92.57003479,5.68218331,4.03868124,7.32568538
O3,93.82261143,5.75621027,4.08500334,7.4274172
O3,95.07518807,5.82519649,4.12329212,7.52710086
O3,96.32776471,5.88919212,4.15417596,7.62420827
O3,97.58034134,5.94824731,4.17821622,7.7182784
O3,98.83291798,6.00241221,4.19590843,7.80891598
O3,100.08549462,6.05173696,4.2076857,7.89578823
O3,101.33807126,6.09627173,4.21392323,7.97862023
O3,102.5906479,6.13606666,4.21494339,8.05718993
O3,103.84322454,6.1711719,4.21102096,8.13132284
O3,105.09580118,6.20163759,4.20238812,8.20088706
O3,106.34837782,6.22751389,4.18923919,8.2657886
O3,107.60095445,6.24885095,4.1717348,8.32596711
O3,108.85353109,6.26569892,4.15000573,8.38139211
O3,110.10610773,6.27810795,4.12415615,8.43205975
O3,111.35868437,6.28612818,4.09426653,8.47798983
O3,112.61126101,6.28980977,4.06039608,8.51922345
O3,113.86383765,6.28920286,4.0225849,8.55582083
O3,115.11641429,6.28435762,3.98085573,8.5878595
O3,116.36899092,6.27532417,3.93521551,8.61543284
O3,117.62156756,6.26215269,3.88565669,8.63864869
O3,118.8741442,6.2448933,3.83215832,8.65762829
O3,120.12672084,6.22359618,3.77468703,8.67250533
O3,121.37929748,6.19831145,3.71319784,8.68342507
O3,122.63187412,6.16908929,3.64763491,8.69054366
O3,123.88445076,6.13597982,3.57793217,8.69402748
O3,125.13702739,6.09903321,3.50401393,8.6940525
O3,126.38960403,6.05829961,3.42579546,8.69080375
O3,127.64218067,6.01382915,3.34318355,8.68447476
O3,128.89475731,5.965672,3.25607703,8.67526698
O3,130.14733395,5.91387831,3.16436734,8.66338928
O3,131.39991059,5.85849821,3.06793914,8.64905728
O3,132.65248723,5.79958187,2.9666709,8.63249284
O3,133.90506387,5.73717943,2.86043556,8.6139233
O3,135.1576405,5.67134104,2.74910119,8.59358088
O3,136.41021714,5.60211685,2.63253176,8.57170194
O3,137.66279378,5.52955701,2.51058785,8.54852618
O3,138.91537042,5.45371168,2.38312747,8.52429588
O3,140.16794706,5.37463099,2.25000688,8.49925509
O3,141.4205237,5.2923651,2.1110814,8.4736488
O3,142.67310034,5.20696417,1.96620623,8.4477221
O3,143.92567697,5.11847833,1.81523731,8.42171935
O3,145.17825361,5.02695774,1.65803208,8.3958834
O3,146.43083025,4.93245255,1.49445025,8.37045485
O3,147.68340689,4.83501291,1.32435454,8.34567128
O3,148.93598353,4.73468897,1.14761128,8.32176666
O3,150.18856017,4.63153087,0.96409102,8.29897073
O3,151.44113681,4.52558878,0.77366902,8.27750854
O3,152.69371345,4.41691283,0.57622564,8.25760001
O3,153.94629008,4.30555318,0.37164669,8.23945966
O3,155.19886672,4.19155997,0.15982361,8.22329634
O3,156.45144336,4.07498336,-0.05934637,8.2093131
O3,157.70402,3.9558735,-0.2859602,8.1977072
