date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter,Z_PM2_5,Z_Temperature,Z_Humidity,Z_WindSpeed,Z_Precipitation,Z_CO,Z_NO2,Z_SO2,Z_O3,Z_Lag_PM2_5
2022-05-22,29.566666666666663,27.3,30.98,2.47,0.02,0.4889285714285714,18.798809523809524,2.9047619047619047,144.6,32.34880952380952,5,1,0,0,0,-0.020878999390309218,1.2645137633240562,-1.572131374227595,0.23568036570021028,-0.28312881604928647,0.009197131873835647,-0.3494375996584007,-0.0395495467469512,2.5112412058898546,0.0869168542726358
2022-05-23,30.963095238095235,25.21,44.44,2.01,0.01,0.4523809523809524,16.791666666666668,2.505952380952381,135.56666666666666,29.566666666666663,5,1,0,0,0,0.033437685518111805,1.0887425927118624,-0.7970480417619817,-0.21439846080111108,-0.2844232102738215,-0.17177548923362654,-0.510984673903439,-0.5382283694499957,2.236358713686888,-0.021275472796650333
2022-05-24,28.284523809523808,26.56,42.37,2.69,0.42,0.5025000000000001,16.88571428571429,2.6321428571428567,125.29047619047624,30.963095238095235,5,1,0,0,0,-0.07075032901210743,1.2022789947819394,-0.916247335833588,0.4509354566356244,-0.23135304706788531,0.07639869150331734,-0.5034151490722656,-0.3804374583857493,1.9236563319399191,0.03302901999422372
2022-05-25,4.5321428571428575,23.44,27.17,3.34,0.0,0.1947619047619047,6.495238095238096,2.582142857142857,87.49285714285713,28.284523809523808,5,1,0,0,0,-0.9946433360818563,0.9398837544422053,-1.7915271763593918,1.0869164071266213,-0.2857176044983565,-1.4474261474634273,-1.3397039177618835,-0.4429583854112054,0.7734824880490109,-0.07113560812126347
2022-05-26,7.530952380952381,25.16,23.62,3.18,0.0,0.2145238095238095,13.178571428571429,2.466666666666667,66.88809523809525,4.5321428571428575,5,1,0,0,0,-0.8779990655922464,1.0845375407833409,-1.9959510864821952,0.930367250082684,-0.2857176044983565,-1.3495712448450596,-0.8017885708985112,-0.5873519549699969,0.14648378285015132,-0.9948212348591308
2022-05-27,12.025,25.98,21.74,2.64,0.0,0.3353571428571428,18.88095238095238,2.7809523809523813,88.17619047619048,7.530952380952381,5,1,0,0,0,-0.7031947301026563,1.1535003924110916,-2.1042093825472286,0.402013845059394,-0.2857176044983565,-0.7512415691966091,-0.34282624252737615,-0.1943632708099854,0.7942761821086455,-0.8782031467600586
2022-05-28,26.42738095238095,28.74,28.89,3.61,0.0,0.4496428571428571,16.929761904761904,3.9869047619047615,154.56190476190477,12.025,5,1,0,0,0,-0.14298735241972615,1.3856192588654717,-1.692482352299893,1.3510931096382663,-0.2857176044983565,-0.18533369863255705,-0.4998699285817165,1.3135819453039963,2.814379937407307,-0.7034380484774077
2022-05-29,16.380952380952383,23.05,33.22,4.49,0.64,0.3095238095238094,9.623809523809523,2.628571428571429,92.71547619047618,26.42738095238095,5,1,0,0,0,-0.5337618655844019,0.9070843493997385,-1.4431427661501082,2.212113473379924,-0.20287637412811466,-0.879160327438692,-1.0878974461628557,-0.3849032388875665,0.932405721219071,-0.1433564169480013
2022-05-30,9.311904761904762,22.81,19.91,2.71,0.0,0.2261904761904762,15.242857142857146,2.3642857142857148,75.22380952380954,16.380952380952383,5,1,0,0,0,-0.8087256123757095,0.8869001001428356,-2.2095884686105327,0.47050410126611664,-0.2857176044983565,-1.2918014830583124,-0.6356422916927598,-0.7153709960221214,0.4001378696194153,-0.5340432154664887
2022-05-31,18.752380952380943,24.7,22.86,1.67,0.0,0.3629761904761905,23.117857142857147,2.797619047619048,101.75357142857142,9.311904761904762,5,1,0,0,0,-0.44152074338698144,1.045851063040944,-2.039715078508485,-0.5470654195194786,-0.2857176044983565,-0.6144805004769628,-0.001814358044521745,-0.17352296180150004,1.207433117213394,-0.808945242910828
