model,n,predictors_excluding_intercept,R2,Adjusted_R2,RMSE,MAE
Weather only + season,1461,7,0.2082580597827095,0.20444374899019668,22.883622858269316,16.276355297276538
Weather + lag + season,1461,8,0.47442508338327927,0.47152935381514305,18.64447982244597,13.27166066653905
Gaseous pollutants + season,1461,7,0.7055568406408075,0.7041383257643351,13.955123704129761,8.99825754521696
Gaseous pollutants + lag + season,1461,8,0.7665424873894601,0.7652562201023496,12.426158333949623,8.085772517474656
Weather + gases + season,1461,11,0.7204446754738307,0.7183224473373312,13.59774336442436,8.668018184081136
Full: weather + gases + lag + season,1461,12,0.7697906327099253,0.7678828202738197,12.339411619244743,7.979581773600221
Full plus PM10 diagnostic,1461,13,0.883471700441727,0.8824247979577895,8.779073006425774,5.986056803547845
